TaxonID	dc:source	ScientificName	HigherTaxonID	TaxonRanky	TaxonomicStatus	ScientificNameAuthorship
leptogastrinae:tid:2734	http://leptogastrinae.lifedesks.org/pages/2734	Leptogaster moluccana	leptogastrinae:tid:2584	species		(Doleschall, 1857)
leptogastrinae:tid:2692	http://leptogastrinae.lifedesks.org/pages/2692	Leptogaster furculata	leptogastrinae:tid:2584	species		Hsia, 1949
leptogastrinae:tid:2691	http://leptogastrinae.lifedesks.org/pages/2691	Leptogaster fumosa	leptogastrinae:tid:2584	species		Janssens, 1954
leptogastrinae:tid:2693	http://leptogastrinae.lifedesks.org/pages/2693	Leptogaster fuscifacies	leptogastrinae:tid:2584	species		Martin, 1964
leptogastrinae:tid:2694	http://leptogastrinae.lifedesks.org/pages/2694	Leptogaster geniculata	leptogastrinae:tid:2584	species		(Macquart, 1850)
leptogastrinae:tid:2695	http://leptogastrinae.lifedesks.org/pages/2695	Leptogaster gracilis	leptogastrinae:tid:2584	species		Loew, 1847
leptogastrinae:tid:2722	http://leptogastrinae.lifedesks.org/pages/2722	Leptogaster longicauda	leptogastrinae:tid:2584	species		Hermann, 1917
leptogastrinae:tid:2690	http://leptogastrinae.lifedesks.org/pages/2690	Leptogaster fumipennis	leptogastrinae:tid:2584	species		Loew, 1871
leptogastrinae:tid:2827	http://leptogastrinae.lifedesks.org/pages/2827	Leptogaster madagascariensis	leptogastrinae:tid:2689		homonym	Bromley, 1942
leptogastrinae:tid:2689	http://leptogastrinae.lifedesks.org/pages/2689	Leptogaster freyi	leptogastrinae:tid:2584	species		Bromley, 1951
leptogastrinae:tid:2679	http://leptogastrinae.lifedesks.org/pages/2679	Leptogaster truquii	leptogastrinae:tid:2678		synonym	Bellardi, 1861
leptogastrinae:tid:2678	http://leptogastrinae.lifedesks.org/pages/2678	Leptogaster fervens	leptogastrinae:tid:2584	species		Wiedemann, 1830
leptogastrinae:tid:2677	http://leptogastrinae.lifedesks.org/pages/2677	Leptogaster ferruginea	leptogastrinae:tid:2584	species		Walker, 1855
leptogastrinae:tid:2682	http://leptogastrinae.lifedesks.org/pages/2682	Leptogaster favillacea	leptogastrinae:tid:2681		synonym	Loew, 1862
leptogastrinae:tid:2683	http://leptogastrinae.lifedesks.org/pages/2683	Leptogaster loewi	leptogastrinae:tid:2681		synonym	Banks, 1914
leptogastrinae:tid:2684	http://leptogastrinae.lifedesks.org/pages/2684	Leptogaster flavicornis	leptogastrinae:tid:2681		synonym	Wulp, 1867
leptogastrinae:tid:2681	http://leptogastrinae.lifedesks.org/pages/2681	Leptogaster flavipes	leptogastrinae:tid:2584	species		Loew, 1862
leptogastrinae:tid:2686	http://leptogastrinae.lifedesks.org/pages/2686	Leptogaster flaviventris	leptogastrinae:tid:2584	species		Hsia, 1949
leptogastrinae:tid:2687	http://leptogastrinae.lifedesks.org/pages/2687	Leptogaster flavobrunnea	leptogastrinae:tid:2584	species		Hull, 1967
leptogastrinae:tid:2688	http://leptogastrinae.lifedesks.org/pages/2688	Leptogaster fornicata	leptogastrinae:tid:2584	species		Martin, 1957
